= Calculating relative diversity (B) for all neutral sites across the genome. = = =
Using recombination (crossover) map from ../bin/200kb.map
Plot saved to genome_plot.png
= B value calculated in 9.37 seconds. = = =
         7150684 function calls (7025948 primitive calls) in 9.813 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5620    0.002    0.000    0.056    0.000 transforms.py:374(extents)
     7305    0.036    0.000    0.056    0.000 inspect.py:744(cleandoc)
      319    0.056    0.000    0.056    0.000 {method 'read' of '_io.BufferedReader' objects}
       34    0.000    0.000    0.054    0.002 backend_agg.py:95(draw_path)
       34    0.053    0.002    0.054    0.002 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     7315    0.003    0.000    0.053    0.000 inspect.py:725(getdoc)
     5870    0.002    0.000    0.052    0.000 transforms.py:2406(transform_affine)
   121760    0.052    0.000    0.052    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.051    0.051 rcsetup.py:1(<module>)
     5596    0.003    0.000    0.050    0.000 collections.py:894(update_scalarmappable)
     2826    0.001    0.000    0.048    0.000 transforms.py:239(__array__)
     2798    0.005    0.000    0.047    0.000 _base.py:2491(update_datalim)
    96000    0.024    0.000    0.047    0.000 __init__.py:741(__getitem__)
   611315    0.036    0.000    0.046    0.000 {built-in method builtins.isinstance}
11241/5633    0.005    0.000    0.045    0.000 transforms.py:2384(__eq__)
       12    0.000    0.000    0.045    0.004 _axes.py:1479(plot)
     2798    0.009    0.000    0.044    0.000 path.py:1052(get_path_collection_extents)
  374/367    0.000    0.000    0.044    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    17592    0.011    0.000    0.044    0.000 colors.py:268(to_rgba)
     5596    0.008    0.000    0.044    0.000 collections.py:571(set_linewidth)
     2798    0.001    0.000    0.044    0.000 cm.py:642(set_norm)
511927/511897    0.035    0.000    0.043    0.000 {built-in method builtins.getattr}
     2798    0.006    0.000    0.043    0.000 cm.py:613(norm)
    17261    0.008    0.000    0.042    0.000 artist.py:103(_stale_axes_callback)
    11397    0.004    0.000    0.042    0.000 transforms.py:1340(__add__)
        1    0.000    0.000    0.041    0.041 collections.py:1(<module>)
      223    0.000    0.000    0.041    0.000 artist.py:1422(__init__)
     2827    0.004    0.000    0.040    0.000 transforms.py:1084(__init__)
     5608    0.001    0.000    0.040    0.000 transforms.py:1710(__eq__)
    49/47    0.000    0.000    0.039    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
    49/47    0.037    0.001    0.039    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.039    0.039 patches.py:1(<module>)
     5608    0.003    0.000    0.039    0.000 transforms.py:2162(__eq__)
      223    0.006    0.000    0.039    0.000 artist.py:1442(get_aliases)
     6030    0.003    0.000    0.038    0.000 cbook.py:1337(_to_unmasked_float_array)
     8424    0.003    0.000    0.037    0.000 axis.py:1700(update_units)
     5831    0.006    0.000    0.037    0.000 transforms.py:813(from_extents)
