= Calculating relative diversity (B) for all neutral sites across the genome. = = =
Using recombination (crossover) map from ../bin/200kb.map
Plot saved to genome_plot.png
= B value calculated in 1.25 seconds. = = =
         1366344 function calls (1345329 primitive calls) in 1.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.011    0.001 axis.py:1555(_get_tick)
        1    0.000    0.000    0.011    0.011 figure.py:799(subplots)
       32    0.000    0.000    0.011    0.000 axis.py:287(draw)
        1    0.000    0.000    0.011    0.011 gridspec.py:264(subplots)
        1    0.000    0.000    0.011    0.011 figure.py:658(add_subplot)
        1    0.000    0.000    0.011    0.011 _base.py:569(__init__)
        1    0.000    0.000    0.010    0.010 cm.py:1(<module>)
       63    0.000    0.000    0.010    0.000 backend_agg.py:250(_prepare_font)
      105    0.001    0.000    0.010    0.000 artist.py:170(<listcomp>)
        1    0.000    0.000    0.010    0.010 pyplot.py:439(_warn_if_gui_out_of_main_thread)
        3    0.000    0.000    0.010    0.003 pyplot.py:270(_get_backend_mod)
      2/1    0.000    0.000    0.009    0.009 pyplot.py:284(switch_backend)
     2936    0.002    0.000    0.009    0.000 path.py:99(__init__)
      215    0.000    0.000    0.009    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.009    0.009 _base.py:1381(clear)
        1    0.000    0.000    0.009    0.009 _base.py:1254(__clear)
       63    0.000    0.000    0.009    0.000 font_manager.py:1303(_find_fonts_by_props)
        1    0.000    0.000    0.009    0.009 process_single_chunk.py:1(<module>)
        1    0.000    0.000    0.009    0.009 geo.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _axes.py:46(Axes)
        1    0.000    0.000    0.009    0.009 ExifTags.py:1(<module>)
75233/75203    0.008    0.000    0.009    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.009    0.009 backend_macosx.py:1(<module>)
     7273    0.007    0.000    0.009    0.000 enum.py:359(__call__)
        1    0.000    0.000    0.009    0.009 axis.py:1(<module>)
        2    0.000    0.000    0.008    0.004 core.py:206(read_style_directory)
        1    0.000    0.000    0.008    0.008 calcBFromChunks.py:1(<module>)
        1    0.000    0.000    0.008    0.008 offsetbox.py:1(<module>)
       20    0.000    0.000    0.008    0.000 axis.py:65(__init__)
        1    0.000    0.000    0.008    0.008 recmapHandler.py:1(<module>)
      693    0.003    0.000    0.008    0.000 inspect.py:2280(_signature_from_function)
        1    0.000    0.000    0.008    0.008 csv.py:1(<module>)
    49/39    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
16375/16366    0.007    0.000    0.008    0.000 {method 'join' of 'str' objects}
    49/39    0.002    0.000    0.008    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.008    0.008 cm.py:32(_gen_cmap_registry)
       98    0.000    0.000    0.008    0.000 lines.py:738(draw)
   110/97    0.000    0.000    0.008    0.000 typing.py:401(__getitem__)
       97    0.000    0.000    0.007    0.000 typing.py:483(Union)
     1003    0.001    0.000    0.007    0.000 __init__.py:711(__setitem__)
      264    0.006    0.000    0.007    0.000 shape_base.py:612(column_stack)
 1100/215    0.003    0.000    0.007    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.007    0.007 polar.py:1(<module>)
     1554    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.007    0.007 lines.py:1(<module>)
        1    0.000    0.000    0.007    0.007 multiarray.py:1(<module>)
        3    0.000    0.000    0.007    0.002 axis.py:2358(_update_label_position)
     1595    0.007    0.000    0.007    0.000 {built-in method posix.stat}
       13    0.000    0.000    0.007    0.001 spines.py:142(get_window_extent)
      437    0.000    0.000    0.007    0.000 artist.py:1536(number_of_parameters)
        1    0.000    0.000    0.007    0.007 genomeBcalc.py:51(<listcomp>)
        1    0.007    0.007    0.007    0.007 {built-in method set_icon}
    97794    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.007    0.007 overrides.py:1(<module>)
    23722    0.006    0.000    0.007    0.000 {method 'get' of 'dict' objects}
      200    0.000    0.000    0.006    0.000 thread.py:161(submit)
        1    0.000    0.000    0.006    0.006 image.py:1(<module>)
       19    0.000    0.000    0.006    0.000 backend_agg.py:187(draw_text)
       23    0.000    0.000    0.006    0.000 backend_agg.py:95(draw_path)
       23    0.006    0.000    0.006    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      954    0.000    0.000    0.006    0.000 artist.py:1542(is_alias)
163558/162416    0.006    0.000    0.006    0.000 {built-in method builtins.len}
       62    0.000    0.000    0.006    0.000 ticker.py:2138(__call__)
        1    0.000    0.000    0.006    0.006 numerictypes.py:1(<module>)
      256    0.001    0.000    0.006    0.000 typing.py:1016(__init__)
       32    0.001    0.000    0.006    0.000 colors.py:1036(from_list)
       10    0.000    0.000    0.006    0.001 axis.py:412(__init__)
       94    0.000    0.000    0.006    0.000 __init__.py:1391(_preprocess_data)
        1    0.000    0.000    0.005    0.005 utils.py:1(<module>)
      200    0.000    0.000    0.005    0.000 thread.py:180(_adjust_thread_count)
        2    0.000    0.000    0.005    0.003 version.py:1(<module>)
       10    0.000    0.000    0.005    0.001 axis.py:469(__init__)
       63    0.005    0.000    0.005    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       62    0.000    0.000    0.005    0.000 ticker.py:2142(tick_values)
     4707    0.001    0.000    0.005    0.000 abc.py:117(__instancecheck__)
       35    0.003    0.000    0.005    0.000 enum.py:180(__new__)
        1    0.000    0.000    0.005    0.005 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.005    0.005 platform.py:1(<module>)
      320    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
15155/15086    0.002    0.000    0.005    0.000 {built-in method builtins.hasattr}
1694/1422    0.000    0.000    0.005    0.000 deprecation.py:289(wrapper)
       62    0.001    0.000    0.005    0.000 ticker.py:2077(_raw_ticks)
