Distance,B
1237,0.809329
1238,0.809390
1239,0.809451
1240,0.809513
1241,0.809574
1242,0.809635
1243,0.809696
1244,0.809757
1245,0.809818
1246,0.809879
1247,0.809940
1248,0.810001
1249,0.810061
1250,0.810122
1251,0.810183
1252,0.810244
1253,0.810304
1254,0.810365
1255,0.810425
1256,0.810486
1257,0.810546
1258,0.810607
1259,0.810667
1260,0.810728
1261,0.810788
1262,0.810848
1263,0.810908
1264,0.810969
1265,0.811029
1266,0.811089
1267,0.811149
1268,0.811209
1269,0.811269
1270,0.811329
1271,0.811389
1272,0.811448
1273,0.811508
1274,0.811568
1275,0.811628
1276,0.811687
1277,0.811747
1278,0.811807
1279,0.811866
1280,0.811926
1281,0.811985
1282,0.812045
1283,0.812104
1284,0.812163
1285,0.812223
1286,0.812282
1287,0.812341
1288,0.812400
1289,0.812460
1290,0.812519
1291,0.812578
1292,0.812637
1293,0.812696
1294,0.812755
1295,0.812814
1296,0.812872
1297,0.812931
1298,0.812990
1299,0.813049
1300,0.813108
1301,0.813166
1302,0.813225
1303,0.813283
1304,0.813342
1305,0.813401
1306,0.813459
1307,0.813517
1308,0.813576
1309,0.813634
1310,0.813692
1311,0.813751
1312,0.813809
1313,0.813867
1314,0.813925
1315,0.813983
1316,0.814041
1317,0.814100
1318,0.814158
1319,0.814215
1320,0.814273
1321,0.814331
1322,0.814389
1323,0.814447
1324,0.814505
1325,0.814562
1326,0.814620
1327,0.814678
1328,0.814735
1329,0.814793
1330,0.814850
1331,0.814908
1332,0.814965
1333,0.815023
1334,0.815080
1335,0.815138
1336,0.815195
1337,0.815252
1338,0.815309
1339,0.815366
1340,0.815424
1341,0.815481
1342,0.815538
1343,0.815595
1344,0.815652
1345,0.815709
1346,0.815766
1347,0.815823
1348,0.815879
1349,0.815936
1350,0.815993
1351,0.816050
1352,0.816106
1353,0.816163
1354,0.816220
1355,0.816276
1356,0.816333
1357,0.816389
1358,0.816446
1359,0.816502
1360,0.816559
1361,0.816615
1362,0.816671
1363,0.816728
1364,0.816784
1365,0.816840
1366,0.816896
1367,0.816952
1368,0.817008
1369,0.817064
1370,0.817120
1371,0.817176
1372,0.817232
1373,0.817288
1374,0.817344
1375,0.817400
1376,0.817456
1377,0.817512
1378,0.817567
1379,0.817623
1380,0.817679
1381,0.817734
1382,0.817790
1383,0.817845
1384,0.817901
1385,0.817956
1386,0.818012
1387,0.818067
1388,0.818123
1389,0.818178
1390,0.818233
1391,0.818288
1392,0.818344
1393,0.818399
1394,0.818454
1395,0.818509
1396,0.818564
1397,0.818619
1398,0.818674
1399,0.818729
1400,0.818784
1401,0.818839
1402,0.818894
1403,0.818949
1404,0.819004
1405,0.819058
1406,0.819113
1407,0.819168
1408,0.819222
1409,0.819277
1410,0.819332
1411,0.819386
1412,0.819441
1413,0.819495
1414,0.819550
1415,0.819604
1416,0.819658
1417,0.819713
1418,0.819767
1419,0.819821
1420,0.819875
1421,0.819930
1422,0.819984
1423,0.820038
1424,0.820092
1425,0.820146
1426,0.820200
1427,0.820254
1428,0.820308
1429,0.820362
1430,0.820416
1431,0.820470
1432,0.820524
1433,0.820577
1434,0.820631
1435,0.820685
1436,0.820738
1437,0.820792
1438,0.820846
1439,0.820899
1440,0.820953
1441,0.821006
1442,0.821060
1443,0.821113
1444,0.821167
1445,0.821220
1446,0.821273
1447,0.821327
1448,0.821380
1449,0.821433
1450,0.821486
1451,0.821540
1452,0.821593
1453,0.821646
1454,0.821699
1455,0.821752
1456,0.821805
1457,0.821858
1458,0.821911
1459,0.821964
1460,0.822017
1461,0.822069
1462,0.822122
1463,0.822175
1464,0.822228
1465,0.822280
1466,0.822333
1467,0.822386
1468,0.822438
1469,0.822491
1470,0.822543
1471,0.822596
1472,0.822648
1473,0.822701
1474,0.822753
1475,0.822806
1476,0.822858
1477,0.822910
1478,0.822963
1479,0.823015
1480,0.823067
1481,0.823119
1482,0.823171
1483,0.823223
1484,0.823276
1485,0.823328
1486,0.823380
1487,0.823432
1488,0.823484
1489,0.823535
1490,0.823587
1491,0.823639
1492,0.823691
1493,0.823743
1494,0.823795
1495,0.823846
1496,0.823898
1497,0.823950
1498,0.824001
1499,0.824053
1500,0.824104
1501,0.824156
1502,0.824207
1503,0.824259
1504,0.824310
1505,0.824362
1506,0.824413
1507,0.824465
1508,0.824516
1509,0.824567
1510,0.824618
1511,0.824670
1512,0.824721
1513,0.824772
1514,0.824823
1515,0.824874
1516,0.824925
1517,0.824976
1518,0.825027
1519,0.825078
1520,0.825129
1521,0.825180
1522,0.825231
1523,0.825282
1524,0.825333
1525,0.825383
1526,0.825434
1527,0.825485
1528,0.825535
1529,0.825586
1530,0.825637
1531,0.825687
1532,0.825738
1533,0.825788
1534,0.825839
1535,0.825889
1536,0.825940
1537,0.825990
1538,0.826041
1539,0.826091
1540,0.826141
1541,0.826192
1542,0.826242
1543,0.826292
1544,0.826342
1545,0.826392
1546,0.826443
1547,0.826493
1548,0.826543
1549,0.826593
1550,0.826643
1551,0.826693
1552,0.826743
1553,0.826793
1554,0.826843
1555,0.826892
1556,0.826942
1557,0.826992
1558,0.827042
1559,0.827092
1560,0.827141
1561,0.827191
1562,0.827241
1563,0.827290
1564,0.827340
1565,0.827389
1566,0.827439
1567,0.827488
1568,0.827538
1569,0.827587
1570,0.827637
1571,0.827686
1572,0.827735
1573,0.827785
1574,0.827834
1575,0.827883
1576,0.827933
1577,0.827982
1578,0.828031
1579,0.828080
1580,0.828129
1581,0.828178
1582,0.828227
1583,0.828276
1584,0.828325
1585,0.828374
1586,0.828423
1587,0.828472
1588,0.828521
1589,0.828570
1590,0.828619
1591,0.828668
1592,0.828716
1593,0.828765
1594,0.828814
1595,0.828863
1596,0.828911
1597,0.828960
1598,0.829008
1599,0.829057
1600,0.829106
1601,0.829154
1602,0.829203
1603,0.829251
1604,0.829299
1605,0.829348
1606,0.829396
1607,0.829444
1608,0.829493
1609,0.829541
1610,0.829589
1611,0.829638
1612,0.829686
1613,0.829734
1614,0.829782
1615,0.829830
1616,0.829878
1617,0.829926
1618,0.829974
1619,0.830022
1620,0.830070
1621,0.830118
1622,0.830166
1623,0.830214
1624,0.830262
1625,0.830310
1626,0.830357
1627,0.830405
1628,0.830453
1629,0.830501
1630,0.830548
1631,0.830596
1632,0.830644
